source_id,source_type,raw_text,source_url,date,company_seed
1,USPTO,"Patent 10525083. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15727402. Application year: 2017. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 9. Inventors: Barbara Brannetti; Jennifer Brogdon; Boris Engels; Brian Granda; Lu Huang; Ming Lei; Na Li; Jimin Zhang; Carla Guimaraes.",https://patents.google.com/patent/US10525083,2020,Novartis
2,USPTO,"Patent 10525158. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15300301. Application year: 2015. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A C. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 1. Inventors: Robert Carey Tucker.",https://patents.google.com/patent/US10525158,2020,Novartis
3,USPTO,"Patent 10526411. Assignee: AMGEN INC.. Grant year: 2020. Application number: 15665139. Application year: 2017. Location: Thousand Oaks, CA, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 5. Inventors: Chadwick Terence King; Gordon Yiu Kon Ng; Shaw-Fen Sylvia Hu; Hung Q. Nguyen; Jeannie JUNG.",https://patents.google.com/patent/US10526411,2020,Amgen
4,USPTO,"Patent 10526452. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15305614. Application year: 2015. Location: Tokyo, nan, JP. CPC sections: C B G. IPC sections: B C G. WIPO field: Other special machines. WIPO sector: Mechanical engineering. Team size: 5. Inventors: Kousuke Namiki; Sawako Fuse; Eiji Koshiishi; Kikuo Furukawa; Hiroshi Horikoshi.",https://patents.google.com/patent/US10526452,2020,MITSUBISHI GAS CHEMICAL CO INC
5,USPTO,"Patent 10526470. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15704176. Application year: 2017. Location: Basel, nan, CH. CPC sections: B C. IPC sections: B C. WIPO field: Macromolecular chemistry, polymers. WIPO sector: Chemistry. Team size: 4. Inventors: Chung-Yuan Chiang; Yongxing Qiu; Kelly Kayi Tallau; Angela Driver-Scott.",https://patents.google.com/patent/US10526470,2020,Novartis
6,USPTO,"Patent 10527222. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15668803. Application year: 2017. Location: Basel, nan, CH. CPC sections: F. IPC sections: F. WIPO field: Mechanical elements. WIPO sector: Mechanical engineering. Team size: 2. Inventors: Geoffrey C. Jawidzik; William Monteleone.",https://patents.google.com/patent/US10527222,2020,Novartis
7,USPTO,"Patent 10527757. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15792807. Application year: 2017. Location: Basel, nan, CH. CPC sections: G B C. IPC sections: B C G. WIPO field: Macromolecular chemistry, polymers. WIPO sector: Chemistry. Team size: 4. Inventors: Frank Chang; Feng Jing; Fei Cheng; Ying Zheng.",https://patents.google.com/patent/US10527757,2020,Novartis
8,USPTO,"Patent 10531567. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15300629. Application year: 2015. Location: Tokyo, nan, JP. CPC sections: nan. IPC sections: B H. WIPO field: nan. WIPO sector: nan. Team size: 2. Inventors: Yousuke Matsuyama; Takaaki Ogashiwa.",https://patents.google.com/patent/US10531567,2020,MITSUBISHI GAS CHEMICAL CO INC
9,USPTO,"Patent 10531983. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15693920. Application year: 2017. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 2. Inventors: Thomas A. Silvestrini; Eugene de Juan, Jr..",https://patents.google.com/patent/US10531983,2020,Novartis
10,USPTO,"Patent 10532042. Assignee: AMGEN INC.. Grant year: 2020. Application number: 15849905. Application year: 2017. Location: Thousand Oaks, CA, US. CPC sections: A C Y. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 11. Inventors: Brian Alan LANMAN; Victor J. Cee; Alexander J. Pickrell; Anthony B. Reed; Kevin Yang; David John Kopecky; Hui-Ling Wang; Patricia Lopez; Kate Ashton; Shon Booker.",https://patents.google.com/patent/US10532042,2020,Amgen
11,USPTO,"Patent 10532994. Assignee: GILEAD SCIENCES, INC.. Grant year: 2020. Application number: 16273878. Application year: 2019. Location: Foster City, CA, US. CPC sections: C A Y. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 1. Inventors: Lawrence S. Zisman.",https://patents.google.com/patent/US10532994,2020,Gilead Sciences
12,USPTO,"Patent 10533042. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15835290. Application year: 2017. Location: Basel, nan, CH. CPC sections: C A G Y. IPC sections: A C G. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 2. Inventors: Kristen Johnson; Jian Shi.",https://patents.google.com/patent/US10533042,2020,Novartis
13,USPTO,"Patent 10533221. Assignee: 10X GENOMICS, INC.. Grant year: 2020. Application number: 16165389. Application year: 2018. Location: Pleasanton, CA, US. CPC sections: C. IPC sections: C. WIPO field: Biotechnology. WIPO sector: Chemistry. Team size: 6. Inventors: Benjamin Hindson; Mirna Jarosz; Paul Hardenbol; Michael Schnall-Levin; Kevin Ness; Serge Saxonov.",https://patents.google.com/patent/US10533221,2020,10X Genomics
14,USPTO,"Patent 10533838. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 16519169. Application year: 2019. Location: Basel, nan, CH. CPC sections: G A. IPC sections: A G. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 2. Inventors: Hugang Ren; Lingfeng Yu.",https://patents.google.com/patent/US10533838,2020,Novartis
15,USPTO,"Patent 10534199. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 14626541. Application year: 2015. Location: Tokyo, nan, JP. CPC sections: G B Y. IPC sections: B G. WIPO field: Optics. WIPO sector: Instruments. Team size: 4. Inventors: Akio Ohkubo; Hideaki Kimura; Masukazu Hirata; Masaki Yagoura.",https://patents.google.com/patent/US10534199,2020,MITSUBISHI GAS CHEMICAL CO INC
16,USPTO,"Patent 10537401. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15793555. Application year: 2017. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 6. Inventors: Cesario Dos Santos; Andrew David Johnson; Ronald T. Smith; Gerald David Bacher; Alireza Mirsepassi; Ryan Takakawa.",https://patents.google.com/patent/US10537401,2020,Novartis
17,USPTO,"Patent 10537471. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 14471089. Application year: 2014. Location: Basel, nan, CH. CPC sections: A F. IPC sections: A F. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 2. Inventors: John Morgan Bourne; Gary P. Sorensen.",https://patents.google.com/patent/US10537471,2020,Novartis
18,USPTO,"Patent 10537539. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 13393351. Application year: 2010. Location: Basel, nan, CH. CPC sections: A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 4. Inventors: Therese Di Paolo; Dominik Feuerbach; Baltazar Gomez-Mancilla; Donald Johns.",https://patents.google.com/patent/US10537539,2020,Novartis
19,USPTO,"Patent 10537561. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15996945. Application year: 2018. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 3. Inventors: Dylan L. Daniel; Johanna Joyce; James Sutton.",https://patents.google.com/patent/US10537561,2020,Novartis
20,USPTO,"Patent 10537563. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 16341075. Application year: 2017. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 6. Inventors: Christopher M. Adams; Muneto Mogi; Stephen Hedrick Poor; Timothy Ramsey; Henry Wu; Qin Zhang.",https://patents.google.com/patent/US10537563,2020,Novartis
21,USPTO,"Patent 10537566. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15517280. Application year: 2015. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 1. Inventors: Paul Smith.",https://patents.google.com/patent/US10537566,2020,Novartis
22,USPTO,"Patent 10537572. Assignee: ABBVIE INC.. Grant year: 2020. Application number: 15957469. Application year: 2018. Location: North Chicago, IL, US. CPC sections: A. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 4. Inventors: Sandra L. Goss; Cheri E. Klein; Juki Wing-Keung Ng; Ahmed Salem.",https://patents.google.com/patent/US10537572,2020,AbbVie
23,USPTO,"Patent 10537648. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15321025. Application year: 2015. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 4. Inventors: Joy Ghosh; Thaddeus P. Dryja; Michael Roguska; Eric Carlson.",https://patents.google.com/patent/US10537648,2020,Novartis
