source_id,source_type,source_url,date,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence,entity_a,entity_b
287,PUBMED,https://pubmed.ncbi.nlm.nih.gov/25470694/,Dec-14,CO_OCCURS_WITH,Crizotinib was superior to standard first-line pemetrexed-plus-platinum chemotherapy in patients with previously untreated advanced ALK-positive NSCLC.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,ALK,NSCLC
287,PUBMED,https://pubmed.ncbi.nlm.nih.gov/25470694/,Dec-14,CO_OCCURS_WITH,The efficacy of the ALK inhibitor crizotinib as compared with standard chemotherapy as first-line treatment for advanced ALK-positive non-small-cell lung cancer (NSCLC) is unknown.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,ALK,NSCLC
287,PUBMED,https://pubmed.ncbi.nlm.nih.gov/25470694/,Dec-14,CO_OCCURS_WITH,"We conducted an open-label, phase 3 trial comparing crizotinib with chemotherapy in 343 patients with advanced ALK-positive nonsquamous NSCLC who had received no previous systemic treatment for advanced disease.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,ALK,NSCLC
291,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35081280/,Jan-22,CO_OCCURS_WITH,"During a median follow-up of 4.0 years, the incidences of MACE and cancer were higher with the combined tofacitinib doses (3.4% [98 patients] and 4.2% [122 patients], respectively) than with a TNF inhibitor (2.5% [37 patients] and 2.9% [42 patients]).",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,MACE,TNF
291,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35081280/,Jan-22,CO_OCCURS_WITH,"In this trial comparing the combined tofacitinib doses with a TNF inhibitor in a cardiovascular risk-enriched population, risks of MACE and cancers were higher with tofacitinib and did not meet noninferiority criteria.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,MACE,TNF
291,PUBMED,https://pubmed.ncbi.nlm.nih.gov/35081280/,Jan-22,CO_OCCURS_WITH,Increases in lipid levels and cancers with tofacitinib prompted a trial of major adverse cardiovascular events (MACE) and cancers in patients with rheumatoid arthritis receiving tofacitinib as compared with a tumor necrosis factor (TNF) inhibitor.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,MACE,TNF
295,PUBMED,https://pubmed.ncbi.nlm.nih.gov/29949494/,Jun-18,FUNDED_WITH,"(Funded by Pfizer and Astellas Pharma; PROSPER ClinicalTrials.gov number, NCT02003924 .).","funded by pfizer and astellas pharma; prosper clinicaltrials.gov number, nct02003924",source_aware_sentence_trigger_relaxed,2,NCT02003924,PFIZER INC
296,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40444708/,Jun-25,FUNDED_WITH,"(Funded by Pfizer and others; BREAKWATER ClinicalTrials.gov number, NCT04607421.).","funded by pfizer and others; breakwater clinicaltrials.gov number, nct04607421",source_aware_sentence_trigger_relaxed,2,BREAKWATER,PFIZER INC
301,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36102184/,Nov-22,CO_OCCURS_WITH,"The Kabi/Pfizer International Growth Database (KIGS) is a large, international database (1987-2012) of children treated with recombinant human growth hormone (rhGH) in real-world settings.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,KIGS,PFIZER INC
306,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000109/pfe-20250424.htm,Apr-25,CO_OCCURS_WITH,The nominees for election to the Company’s Board of Directors set forth in Item 1 to the Company’s Proxy Statement filed with the U.S.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,the Company’s Board of Directors,the U.S. Securities and Exchange Commission
